,beverage,yob,direct_correlation,indirect_correlation,same_correlation
487,milk,2003,0.4612602461777726,-0.20798569226331765,False
488,milk,2004,0.3708939487408818,-0.2385348219629799,False
489,milk,2005,0.4029026817321997,-0.2772925165734143,False
490,milk,2006,0.6381886863914216,-0.2489946112542077,False
491,milk,2007,0.5165556738954044,-0.26198086776814417,False
492,milk,2008,0.5060817864091833,-0.2775311442686084,False
493,milk,2009,0.929514161723864,-0.2347622556862145,False
494,milk,2010,0.9467799748727748,-0.2532013278935055,False
495,milk,2011,0.7410658638706757,-0.22760252627132596,False
496,milk,2012,0.6018427369898862,-0.22692093559484386,False
497,milk,2013,0.4981361779980707,-0.21146446300127628,False
498,milk,2014,0.6435441500358482,-0.2455220310342035,False
499,milk,2015,0.7005824882503149,-0.20436512986388564,False
500,milk,2016,0.6160275612821577,-0.18420699712634245,False
501,milk,2017,0.5366195032553932,-0.21702191183337216,False
502,milk,2018,0.7415395122071158,-0.2234556991814148,False
503,milk,2019,0.3782770512122175,-0.12055382337547088,False
504,milk,2020,0.4914037090325381,-0.05135830102579478,False
505,soda,1920,-0.2117325644346227,-0.15135813306745394,True
506,soda,1921,-0.2498647443211438,-0.12578495230658254,True
507,soda,1922,-0.02224645009085258,-0.057663420999744815,True
508,soda,1923,-0.09888130786488017,-0.09075810901974056,True
509,soda,1924,-0.09144818102435094,-0.14663440085857554,True
510,soda,1925,-0.2455170334180425,-0.15180810312619694,True
511,soda,1926,-0.10368473212278108,-0.18673851537637887,True
512,soda,1927,-0.1155245562802248,-0.18716006947609226,True
513,soda,1928,-0.14215775560923866,-0.2493017384806184,True
514,soda,1929,-0.24746942866801155,-0.24262367552996145,True
515,soda,1930,-0.1917906379462076,-0.18939396273277773,True
516,soda,1931,-0.16557823542091885,-0.23412788027812584,True
517,soda,1932,-0.054256585896426984,-0.32565002359520984,True
518,soda,1933,-0.15534409945094158,-0.2786464598035896,True
519,soda,1934,-0.01651988163784946,-0.2386955647592813,True
520,soda,1935,-0.04908048822866385,-0.15733917586623222,True
521,soda,1936,-0.13972142069982812,-0.2040852022560685,True
522,soda,1937,-0.2662990467419597,-0.1838573924297614,True
523,soda,1938,0.0005951383022004112,-0.10970962775210212,False
524,soda,1939,-0.0017119096123689693,-0.0963504040793756,True
525,soda,1940,-0.14988358775514296,0.03997479923826503,False
526,soda,1941,-0.021311126837962664,-0.03484848461062714,True
527,soda,1942,0.07569554482412423,-0.025639184236847072,False
528,soda,1943,-0.06010252405125222,-0.1191591881212848,True
529,soda,1944,-0.08511755920610163,-0.1712744680944445,True
530,soda,1945,-0.02076001747218428,-0.0123473040523679,True
531,soda,1946,0.34557278291811505,0.008840414318988604,True
532,soda,1947,0.12829081348932705,-0.08705385151733057,False
533,soda,1948,0.18146023441494846,-0.1228317179065707,False
534,soda,1949,0.26046548467173564,-0.05197549564081319,False
