,country,yob,direct_correlation,indirect_correlation,same_correlation
934,Algeria,1945,-0.4603225038590082,0.04726582983521034,False
935,Algeria,1946,-0.042293604991942964,0.07356778238808963,False
936,Algeria,1947,0.16763898692118867,0.04197779547844454,True
937,Algeria,1948,0.2881399609609097,0.05131686790299241,True
938,Algeria,1949,-0.13770114429957625,0.02514587242942296,False
939,Algeria,1950,0.16081888472147535,0.049071671707226566,True
940,Algeria,1951,0.16799421426604086,0.0945753069325841,True
941,Algeria,1952,0.3268407864060829,0.11926132769856025,True
942,Algeria,1953,0.11252024165480966,0.07801528600727536,True
943,Algeria,1954,0.707902151338208,0.1367768674030026,True
944,Algeria,1955,0.02434327538215366,0.09801903455575862,True
945,Algeria,1956,0.3812182541019642,0.09458605177787008,True
946,Algeria,1957,0.4094001025582844,0.10331778637240954,True
947,Algeria,1958,0.4236754380700426,0.16350264895473385,True
948,Algeria,1959,0.4505258209180895,0.1085583919653816,True
949,Algeria,1960,0.6428117817089665,0.12479053246097666,True
950,Algeria,1961,0.6993321995255825,0.12354525503315382,True
951,Algeria,1962,1.0580302336190197,0.08635245419345093,True
952,Algeria,1963,1.0234163839000363,0.07588271485931135,True
953,Algeria,1964,0.5912723897818641,0.06112192649183387,True
954,Algeria,1965,0.743835012137114,0.052922037743883855,True
955,Algeria,1966,0.7025393786011467,0.060285483396201836,True
956,Algeria,1967,0.7668064359549579,0.07452250530164316,True
957,Algeria,1968,0.6550379628200894,0.08344931262856893,True
958,Algeria,1969,0.7820552869403966,0.06414865765209217,True
959,Algeria,1970,0.8580174857115529,0.034226367957685785,True
960,Algeria,1971,0.6624379311517821,0.021629665084067672,True
961,Algeria,1972,0.5536197869594859,-0.010651624592648156,False
962,Algeria,1973,1.3004099008039989,0.059135937793592136,True
963,Algeria,1974,0.9113432538280329,0.06431512078760454,True
964,Algeria,1975,1.0410924012718603,0.13176115536278793,True
965,Algeria,1976,0.681923785995486,0.10513012083526037,True
966,Algeria,1977,0.7735675874763869,0.06366894895830469,True
967,Algeria,1978,0.5235000314238972,0.023785721320147137,True
968,Algeria,1979,0.4338523133634969,-0.06036611638075987,False
969,Algeria,1980,-0.022843868395720574,-0.02676249183545619,True
970,Algeria,1981,0.6526105039368248,0.01810884233191029,True
971,Algeria,1982,0.4345488954796023,0.04266868236436959,True
972,Algeria,1983,0.26387092607024937,-0.025716591771697026,False
973,Algeria,1984,0.021027254196553682,-0.11506137055080133,False
974,Algeria,1985,-0.05324489129078612,-0.03316144215912989,True
975,Algeria,1986,0.2358283881051048,-0.028603867258635188,False
976,Algeria,1987,0.060347850433804875,-0.049710693564179134,False
977,Algeria,1988,0.35109427377705177,-0.09993675818101032,False
978,Algeria,1989,0.017927113353628014,-0.028325987157900308,False
979,Algeria,1990,0.3794659086864581,-0.0100424304948626,False
980,Algeria,1991,0.6090812253570331,0.002706732513563472,True
981,Algeria,1992,0.9561470247253744,0.03206931377226849,True
982,Algeria,1993,0.9063543880130208,-0.0002517382089802073,False
983,Algeria,1994,1.037030700391401,0.029074901796424607,True
984,Algeria,1995,0.7318836712983737,-0.0005511716686876615,False
