,sport,occupation,direct_correlation,indirect_correlation,same_correlation
198,hockey,philosopher,-1.464566082329661,-0.2172126231735868,True
199,hockey,photographer,-0.07095157095858098,0.13464366020221094,False
200,hockey,pilot,0.474640569171367,0.18572931823709474,True
201,hockey,policeman,0.2394538137808053,0.09176805176018847,True
202,hockey,politician,-0.7037512793123002,-0.005101964250681392,True
203,hockey,professor,-0.530061602912293,-0.08779700069662015,True
204,hockey,programmer,0.02273199831781146,0.18900286476392428,True
205,hockey,psychologist,-0.5530263479037928,0.04437001492296815,False
206,hockey,scientist,-0.5866736688379336,-0.14940860594564848,True
207,hockey,scholar,-0.8230189776876984,-0.3606663145694121,True
208,hockey,secretary,-0.3272947796081288,-0.13923854088114554,True
209,hockey,server,-0.0937514633605232,-0.12931844372970913,True
210,hockey,singer,-0.6184581910390384,-0.14218816107962984,True
211,hockey,soldier,-0.5909626502332069,-0.01058300629696027,True
212,hockey,surgeon,-0.7683815393538138,-0.004028950559143711,True
213,hockey,teacher,0.16927712056079924,-0.03949444167853781,False
214,hockey,therapist,-0.9740874387031471,-0.012211369467682715,True
215,hockey,translator,-0.6658176965571201,-0.025355309248132413,True
216,hockey,waiter,-0.12055487082863325,0.09117684925492067,False
217,hockey,waitress,0.2260372535799482,-0.03542450017836905,False
218,hockey,warrior,-1.658602899091244,-0.2308126871475727,True
219,hockey,writer,-0.5026434551239913,-0.037656038145328564,True
220,tennis,accountant,0.26413516859266384,-0.16749351240044333,False
221,tennis,architect,-0.3584453050572679,-0.26209420212657386,True
222,tennis,artist,-0.6792166550150306,0.14889348079346368,False
223,tennis,attorney,-0.25742644344712445,-0.2634321922023383,True
224,tennis,banker,0.5396261909394582,-0.4213951853264728,False
225,tennis,bartender,-0.09862603675740783,-0.1478689206772597,True
226,tennis,broadcaster,0.03864334609182531,-0.13288349327454133,False
227,tennis,builder,0.32694766354470245,-0.4448978143346237,False
228,tennis,businessman,0.2693017437196976,-0.4154135269262087,False
229,tennis,butcher,0.1632274633150395,-0.4650401067228905,False
230,tennis,captain,-0.5431839556631379,-0.4003709114752434,True
231,tennis,carpenter,0.2348679105611002,-0.4675467338536413,False
232,tennis,chef,0.14554203118124065,-0.2239766325189136,False
233,tennis,coach,0.9348148327293264,-0.17001497330105264,False
234,tennis,cook,0.21935627202992786,0.11682629365029973,True
235,tennis,dancer,0.1819922657387052,0.3050592695800353,True
236,tennis,designer,0.07871781904171203,0.12332601404465288,True
237,tennis,doctor,-0.12707173564039084,-0.25515093474549744,True
238,tennis,economist,0.1794210962041982,-0.13017833993134836,False
239,tennis,editor,-0.5048728594078504,-0.08001536390261034,True
240,tennis,engineer,0.12201329589150177,-0.3832236462878708,False
241,tennis,farmer,0.31044154056662915,-0.4359064108494895,False
242,tennis,filmmaker,-0.3562200285589883,-0.21935449075241764,True
243,tennis,housekeeper,-0.06771931132756275,0.4025431414225246,False
244,tennis,journalist,-0.13428843714027294,-0.04367028936517875,True
245,tennis,judge,-0.01194717701487256,-0.3720657386138029,True
246,tennis,lawyer,-0.05449627026184938,-0.34772420591820885,True
247,tennis,librarian,-0.3910715916022505,0.320281784693346,False
248,tennis,magician,-0.8687219285576371,-0.3901645963612054,True
249,tennis,mechanic,0.0615979245106154,-0.3815972890624442,False
250,tennis,musician,-0.3642254019620473,-0.344746888153292,True
251,tennis,nurse,0.4258845972042895,0.4671199354075153,True
252,tennis,painter,-0.2361658737114305,-0.08042894844424099,True
253,tennis,philosopher,-0.9938717719731196,-0.2620762247878859,True
254,tennis,photographer,0.09444520376043453,-0.07389249396602654,False
255,tennis,pilot,0.056475441830533726,-0.3718105730802532,False
256,tennis,policeman,-0.2168131277031155,-0.451324913101609,True
257,tennis,politician,-0.3379796307872793,-0.1312539771171531,True
258,tennis,professor,-0.6095006778680233,-0.3657357519977437,True
259,tennis,programmer,-0.0906408726852488,-0.20755004955813947,True
260,tennis,psychologist,-0.24214692107548416,0.17133423875477274,False
261,tennis,scientist,-0.8650188891796221,-0.13180749538808312,True
262,tennis,scholar,-0.3904841145639862,-0.1231730167030206,True
263,tennis,secretary,-0.044138650769548725,0.35983657998138985,False
264,tennis,server,-0.0049883634062275325,0.060533594447888174,False
265,tennis,singer,-0.26767092888672583,0.3176464236212679,False
266,tennis,soldier,-0.5030781018097882,-0.4094420583393839,True
267,tennis,surgeon,-0.3728946771459369,-0.4230178349474061,True
268,tennis,teacher,0.013906859187701045,0.09442300110850704,True
269,tennis,therapist,-0.3781151278301168,0.3790938800028154,False
270,tennis,translator,-0.27280692469102136,-0.042626146706567634,True
271,tennis,waiter,-0.11914700982778972,-0.40469817713540013,True
272,tennis,waitress,0.10103450652235048,0.4155572478442223,True
273,tennis,warrior,-1.441514428919762,-0.0966904585430233,True
274,tennis,writer,-0.3076036487856247,0.0426478534982819,False
275,volleyball,accountant,0.28046441046555715,-0.13847780973582646,False
276,volleyball,architect,-0.6470703384792833,-0.23927240518314996,True
277,volleyball,artist,-1.2813577992238427,0.011793842357340404,False
278,volleyball,attorney,-0.4276790403448556,-0.17945857219765546,True
279,volleyball,banker,0.2313884711485887,-0.33535475496375144,False
280,volleyball,bartender,0.2537788151581584,0.04080518664177856,True
281,volleyball,broadcaster,-0.16638938425185426,-0.16169985324205233,True
282,volleyball,builder,0.05677705890851156,-0.3083235173673349,False
283,volleyball,businessman,0.12574477041644794,-0.2687406304576509,False
284,volleyball,butcher,-0.0013521204881633431,-0.4144983156540196,True
285,volleyball,captain,-0.03432490521022842,-0.2742583090003581,True
286,volleyball,carpenter,0.14952171913375648,-0.3094476399731335,False
287,volleyball,chef,0.0025434423052436016,-0.07597304076273148,False
288,volleyball,coach,1.3483046296285284,-0.07827456016058673,False
289,volleyball,cook,0.22250397107327569,-0.05148759173479578,False
290,volleyball,dancer,0.4995415270995437,0.2767751150772715,True
291,volleyball,designer,-0.3808061858553049,0.0555967550837992,False
292,volleyball,doctor,-0.427897476545709,-0.29951333394035684,True
293,volleyball,economist,0.008636950957658249,-0.15589475777973066,False
294,volleyball,editor,-0.9072545468517148,-0.19877399871851528,True
295,volleyball,engineer,0.053876884946392575,-0.2821271931959575,False
296,volleyball,farmer,-0.07049527750324185,-0.38866840236668027,True
297,volleyball,filmmaker,-0.4206789832894216,-0.11869260016458508,True
298,volleyball,housekeeper,-0.4121529882061468,0.2141137499535581,False
299,volleyball,journalist,-0.6635690232372413,-0.09486504564521048,True
300,volleyball,judge,-0.4203945998221968,-0.3905525980225691,True
301,volleyball,lawyer,-0.2307906256231428,-0.2902778080804114,True
302,volleyball,librarian,-0.7336099698935271,0.2149568332182882,False
303,volleyball,magician,-1.1251880269783912,-0.3085715291415948,True
304,volleyball,mechanic,0.18686181740646168,-0.2258377449488808,False
305,volleyball,musician,-0.5194232478742875,-0.2174675829059936,True
306,volleyball,nurse,0.3754932332401651,0.3008816991831669,True
307,volleyball,painter,-0.5412032939787744,-0.17818121872587486,True
308,volleyball,philosopher,-1.616190917124126,-0.3097918147826117,True
309,volleyball,photographer,-0.17483740908995554,-0.016499042302981097,True
310,volleyball,pilot,0.2421430648320299,-0.2746494871653392,False
311,volleyball,policeman,-0.23528247148184026,-0.3900049076980727,True
312,volleyball,politician,-0.5500274008940252,-0.13440982571696014,True
313,volleyball,professor,-0.6834193396641363,-0.3036558443189599,True
314,volleyball,programmer,-0.3410353680783888,-0.030097829651481788,True
315,volleyball,psychologist,-0.7522885054231441,0.0439805599366872,False
316,volleyball,scientist,-1.3693966861061464,-0.18144557432778,True
317,volleyball,scholar,-0.9111918158865604,-0.22044222158397625,True
318,volleyball,secretary,-0.4088501984339053,0.17277055263690805,False
